,id,name,description,pic_url,total_comics,total_series,total_stories,total_events
1010350,1010350,Valkyrie (Samantha Parrington),"Amora magically transformed Samantha Parrington into a raging, man-hating facsimile of the Asgardian warrior goddess Brunnhilde the Valkyrie, whose form and might Amora could replicate at will, having trapped Brunnhilde's soul in a mystical crystal centuries earlier.",http://i.annihil.us/u/prod/marvel/i/mg/c/00/535fed8a3a00f.jpg,17,14,18,1
1011400,1011400,H.A.M.M.E.R.,,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4ce5a7675d903.jpg,8,5,11,1
1009154,1009154,Annihilus,,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/528d31f20a2f6.jpg,66,31,83,1
1009486,1009486,Harry Osborn,,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4ce5a0b3181d8.jpg,98,23,123,4
1009316,1009316,Gauntlet (Joseph Green),,http://i.annihil.us/u/prod/marvel/i/mg/7/20/535ff2a48869b.jpg,29,8,36,5
1009355,1009355,Hulkling,,http://i.annihil.us/u/prod/marvel/i/mg/8/20/4c003ed070fa0.jpg,42,24,41,3
1009492,1009492,Patriot,,http://i.annihil.us/u/prod/marvel/i/mg/8/b0/4c003cfda4644.jpg,81,16,81,2
1010833,1010833,Speed,"Tommy Shepherd may be the son of the Scarlet Witch and the Vision, and thus the twin brother of Wiccan.",http://i.annihil.us/u/prod/marvel/i/mg/3/10/4c0035d87180e.jpg,14,10,15,3
1010828,1010828,Stature,Cassie Lang is the daughter of deceased Avenger Scott Lang and a member of the Young Avengers.,http://i.annihil.us/u/prod/marvel/i/mg/3/60/527413be6077d.jpg,32,13,30,3
1009735,1009735,Mariko Yashida,"Mariko Yashida was the daughter of Japanese crimelord Lord Shingen, leader of Clan Yashida, and one-time fiance of Wolverine.",http://i.annihil.us/u/prod/marvel/i/mg/3/10/4c00393d65a55.jpg,23,13,23,1
1011078,1011078,Starjammers,,http://i.annihil.us/u/prod/marvel/i/mg/9/60/537f74ae55a3a.jpg,32,18,30,0
1009347,1009347,Hobgoblin (Roderick Kingsley),,http://i.annihil.us/u/prod/marvel/i/mg/c/80/4c003ed3cff99.jpg,38,20,37,2
1009605,1009605,Spencer Smythe,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,7,3,7,0
1011390,1011390,Redwing,,http://i.annihil.us/u/prod/marvel/i/mg/6/70/4ce5a7383561c.jpg,22,9,32,0
1010694,1010694,Speedball (Robert Baldwin),,http://i.annihil.us/u/prod/marvel/i/mg/7/30/4d52f6a668e76.jpg,40,12,49,3
1010910,1010910,Black Cat (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c00357da502e.jpg,5,2,5,0
1011427,1011427,Nomad (Rikki Barnes),,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce5a79501bd6.jpg,16,4,20,0
1010797,1010797,Nitro,,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/4c00372e0847c.jpg,7,6,6,1
1011206,1011206,Doctor Faustus,,http://i.annihil.us/u/prod/marvel/i/mg/e/e0/4ce5a54ac4d4b.jpg,9,5,14,0
1010678,1010678,Hellion,,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/4c0038ee5a898.jpg,28,13,31,2
1010811,1010811,Man-Wolf,,http://i.annihil.us/u/prod/marvel/i/mg/6/90/4c7c641e86d14.jpg,29,15,28,0
1009451,1009451,Moondragon,,http://i.annihil.us/u/prod/marvel/i/mg/b/a0/4c003d2ebd6c5.jpg,78,30,93,4
1014873,1014873,Spider-Man (2099),,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/520d1ad3e543f.jpg,67,22,67,0
1009650,1009650,Tempest,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,23,13,26,2
1009574,1009574,Shadowcat,,http://i.annihil.us/u/prod/marvel/i/mg/7/e0/4c003c2b50b1d.jpg,15,11,15,0
1009345,1009345,Hitman,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,4,3,4,0
1011107,1011107,Deviants,,http://i.annihil.us/u/prod/marvel/i/mg/1/e0/4c0030a603d23.jpg,8,6,10,0
